m,country,years,age,survivors
GNQ,Equatorial Guinea,2005-2010,45.0,63171.67
GNQ,Equatorial Guinea,2005-2010,50.0,59991.41
GNQ,Equatorial Guinea,2005-2010,55.0,56364.85
GNQ,Equatorial Guinea,2005-2010,60.0,51940.63
GNQ,Equatorial Guinea,2005-2010,65.0,46011.3
GNQ,Equatorial Guinea,2005-2010,70.0,38094.48
GNQ,Equatorial Guinea,2005-2010,75.0,28194.05
GNQ,Equatorial Guinea,2005-2010,80.0,17593.82
GNQ,Equatorial Guinea,2005-2010,85.0,8358.02
MOZ,Mozambique,2005-2010,0.0,100000.0
MOZ,Mozambique,2005-2010,1.0,92102.22
MOZ,Mozambique,2005-2010,5.0,87418.87
MOZ,Mozambique,2005-2010,10.0,85308.29
MOZ,Mozambique,2005-2010,15.0,84025.68
MOZ,Mozambique,2005-2010,20.0,82632.16
MOZ,Mozambique,2005-2010,25.0,79944.91
MOZ,Mozambique,2005-2010,30.0,74038.78
MOZ,Mozambique,2005-2010,35.0,66457.62
MOZ,Mozambique,2005-2010,40.0,58908.16
MOZ,Mozambique,2005-2010,45.0,54136.79
MOZ,Mozambique,2005-2010,50.0,50730.34
MOZ,Mozambique,2005-2010,55.0,47535.52
MOZ,Mozambique,2005-2010,60.0,44029.25
MOZ,Mozambique,2005-2010,65.0,39485.23
MOZ,Mozambique,2005-2010,70.0,33469.08
MOZ,Mozambique,2005-2010,75.0,25694.5
MOZ,Mozambique,2005-2010,80.0,16835.57
MOZ,Mozambique,2005-2010,85.0,8524.99
GHA,Ghana,2005-2010,0.0,100000.0
GHA,Ghana,2005-2010,1.0,94743.4
GHA,Ghana,2005-2010,5.0,92188.0
GHA,Ghana,2005-2010,10.0,90590.72
GHA,Ghana,2005-2010,15.0,89716.94
GHA,Ghana,2005-2010,20.0,88380.75
GHA,Ghana,2005-2010,25.0,86689.02
GHA,Ghana,2005-2010,30.0,84825.72
GHA,Ghana,2005-2010,35.0,82899.0
GHA,Ghana,2005-2010,40.0,80788.11
GHA,Ghana,2005-2010,45.0,78443.44
GHA,Ghana,2005-2010,50.0,75782.24
GHA,Ghana,2005-2010,55.0,72256.58
GHA,Ghana,2005-2010,60.0,67548.03
GHA,Ghana,2005-2010,65.0,60473.8
GHA,Ghana,2005-2010,70.0,50441.13
GHA,Ghana,2005-2010,75.0,36792.27
GHA,Ghana,2005-2010,80.0,21417.75
GHA,Ghana,2005-2010,85.0,8534.72
MWI,Malawi,2005-2010,0.0,100000.0
MWI,Malawi,2005-2010,1.0,90824.0
MWI,Malawi,2005-2010,5.0,86760.29
MWI,Malawi,2005-2010,10.0,85559.34
MWI,Malawi,2005-2010,15.0,84721.61
MWI,Malawi,2005-2010,20.0,83881.57
MWI,Malawi,2005-2010,25.0,82127.03
MWI,Malawi,2005-2010,30.0,78139.94
MWI,Malawi,2005-2010,35.0,71360.69
MWI,Malawi,2005-2010,40.0,63394.12
